lat_O,lon_O,lat_D,lon_D,group,count,distance,norm_total,norm_group
-33.439306,-70.646975,-33.4394306,-70.6471028,4,360,0.018226558273055075,0.0003759084454097402,0.0008368589892603096
-33.439544,-70.651204,-33.439695,-70.651528,4,360,0.03446985801820863,0.0003759084454097402,0.0008368589892603096
-33.402107,-70.57827,-33.4022556,-70.5778,4,560,0.04672589453173389,0.0005847464706373736,0.0013017806499604817
-33.4022556,-70.5778,-33.402107,-70.57827,4,460,0.04672589453173389,0.0004803274580235569,0.0010693198196103956
-33.402107,-70.57827,-33.4022556,-70.5778,3,380,0.04672589453173389,0.00039679224793250355,0.001426962072850169
-33.41827777,-70.6063916667,-33.417793,-70.606604,4,780,0.05727908522451166,0.0008144682983877705,0.001813194476730671
-33.417793,-70.606604,-33.41827777,-70.6063916667,4,600,0.05727908522451166,0.0006265140756829004,0.001394764982100516
-33.39104,-70.54533,-33.390478,-70.545018,4,640,0.06876003461446333,0.000668281680728427,0.0014877493142405505
-33.390478,-70.545018,-33.39104,-70.54533,4,700,0.06876003461446333,0.0007309330882967171,0.0016272258124506022
-33.44142222,-70.6510416667,-33.44195833,-70.6504833333,2,400,0.07893643636261236,0.0004176760504552669,0.001954843123839312
-33.44142222,-70.6510416667,-33.44195833,-70.6504833333,4,460,0.07893643636261236,0.0004803274580235569,0.0010693198196103956
-33.44195833,-70.6504833333,-33.44142222,-70.6510416667,4,440,0.07893643636261236,0.0004594436555007936,0.0010228276535403785
-33.41325,-70.603778,-33.41407,-70.603843,4,660,0.09114844707863592,0.0006891654832511904,0.0015342414803105676
-33.41407,-70.603843,-33.41325,-70.603778,4,420,0.09114844707863592,0.00043855985297803026,0.0009763354874703612
-33.517637,-70.598107,-33.516993,-70.597368,2,360,0.09907410076795564,0.0003759084454097402,0.0017593588114553807
-33.480293,-70.750603,-33.480293,-70.751692,4,420,0.10121557385859747,0.00043855985297803026,0.0009763354874703612
-33.4155833,-70.5833889,-33.414636,-70.583264,4,380,0.10570713055921913,0.00039679224793250355,0.0008833511553303268
-33.414636,-70.583264,-33.4155833,-70.5833889,4,600,0.10570713055921913,0.0006265140756829004,0.001394764982100516
-33.4233,-70.6099,-33.422401,-70.609352,4,420,0.11198064608291854,0.00043855985297803026,0.0009763354874703612
-33.422401,-70.609352,-33.4233,-70.6099,4,420,0.11198064608291854,0.00043855985297803026,0.0009763354874703612
-33.44142222,-70.6510416667,-33.44215,-70.65196,4,420,0.11750445359203324,0.00043855985297803026,0.0009763354874703612
-33.431576,-70.617385,-33.430589,-70.617847,4,360,0.11759960958794503,0.0003759084454097402,0.0008368589892603096
-33.4089,-70.56791,-33.409904,-70.567455,4,840,0.11912735747754366,0.0008771197059560605,0.0019526709749407224
-33.4089,-70.56791,-33.409904,-70.567455,3,360,0.11912735747754366,0.0003759084454097402,0.0013518588058580548
-33.365936,-70.678437,-33.364834,-70.678337,4,700,0.12257770520475315,0.0007309330882967171,0.0016272258124506022
-33.364834,-70.678337,-33.365936,-70.678437,4,520,0.12257770520475315,0.000542978865591847,0.0012087963178204473
-33.439306,-70.646975,-33.439231,-70.645561,4,360,0.1317470267791302,0.0003759084454097402,0.0008368589892603096
-33.4394306,-70.6471028,-33.44067,-70.64675,4,720,0.14132501704392525,0.0007518168908194805,0.0016737179785206193
-33.44067,-70.64675,-33.4394306,-70.6471028,4,520,0.14132501704392525,0.000542978865591847,0.0012087963178204473
-33.44067,-70.64675,-33.4394306,-70.6471028,3,400,0.14132501704392525,0.0004176760504552669,0.0015020653398422831
-33.4394306,-70.6471028,-33.44067,-70.64675,3,540,0.14132501704392525,0.0005638626681146103,0.0020277882087870822
-33.439231,-70.645561,-33.4394306,-70.6471028,4,400,0.14506699344546425,0.0004176760504552669,0.000929843321400344
-33.439544,-70.651204,-33.43998,-70.65269,4,420,0.1463959063157814,0.00043855985297803026,0.0009763354874703612
-33.4505,-70.6788611111,-33.451525,-70.677805,4,380,0.15021976052149477,0.00039679224793250355,0.0008833511553303268
-33.443511,-70.650592,-33.4445359,-70.6518484,3,420,0.16300125182663622,0.00043855985297803026,0.0015771686068343973
-33.4445359,-70.6518484,-33.443511,-70.650592,3,540,0.16300125182663622,0.0005638626681146103,0.0020277882087870822
-33.4445359,-70.6518484,-33.443511,-70.650592,4,460,0.16300125182663622,0.0004803274580235569,0.0010693198196103956
-33.443511,-70.650592,-33.4445359,-70.6518484,4,420,0.16300125182663622,0.00043855985297803026,0.0009763354874703612
-33.611416,-70.705406,-33.61030556,-70.70419444,4,420,0.1667686457032405,0.00043855985297803026,0.0009763354874703612
-33.611416,-70.705406,-33.61030556,-70.70419444,3,380,0.1667686457032405,0.00039679224793250355,0.001426962072850169
-33.61030556,-70.70419444,-33.611416,-70.705406,3,540,0.1667686457032405,0.0005638626681146103,0.0020277882087870822
-33.44422,-70.64629,-33.4427,-70.6465,4,460,0.1697138559942207,0.0004803274580235569,0.0010693198196103956
-33.416661,-70.604415,-33.417946,-70.603203,4,840,0.1817149188217933,0.0008771197059560605,0.0019526709749407224
-33.417946,-70.603203,-33.416661,-70.604415,4,780,0.1817149188217933,0.0008144682983877705,0.001813194476730671
-33.41104,-70.57331,-33.4104,-70.571503,4,360,0.18245719129438834,0.0003759084454097402,0.0008368589892603096
-33.4239972,-70.6182028,-33.425528,-70.619,4,440,0.18526649677636056,0.0004594436555007936,0.0010228276535403785
-33.447539,-70.651178,-33.448898,-70.652397,4,360,0.18858815701388068,0.0003759084454097402,0.0008368589892603096
-33.448898,-70.652397,-33.447539,-70.651178,4,600,0.18858815701388068,0.0006265140756829004,0.001394764982100516
-33.417025,-70.5959666667,-33.416633,-70.597957,4,380,0.190160464296145,0.00039679224793250355,0.0008833511553303268
-33.4462,-70.6556,-33.446135,-70.653543,4,380,0.1913957249334853,0.00039679224793250355,0.0008833511553303268
-33.446135,-70.653543,-33.4462,-70.6556,4,360,0.1913957249334853,0.0003759084454097402,0.0008368589892603096
-33.4022556,-70.5778,-33.4035611111,-70.5791694444,4,400,0.192860726330873,0.0004176760504552669,0.000929843321400344
-33.4035611111,-70.5791694444,-33.4022556,-70.5778,4,580,0.192860726330873,0.000605630273160137,0.0013482728160304988
-33.424166,-70.614918,-33.424099,-70.612816,4,440,0.19563458830486885,0.0004594436555007936,0.0010228276535403785
-33.44172,-70.648562,-33.44067,-70.64675,4,380,0.2048197617136256,0.00039679224793250355,0.0008833511553303268
-33.41501944,-70.5890611111,-33.416874,-70.588776,4,380,0.20739515669539282,0.00039679224793250355,0.0008833511553303268
-33.44142222,-70.6510416667,-33.439544,-70.651204,4,360,0.20886390732302793,0.0003759084454097402,0.0008368589892603096
-33.414636,-70.583264,-33.414167,-70.580833,4,520,0.23202292247534959,0.000542978865591847,0.0012087963178204473
-33.414167,-70.580833,-33.414636,-70.583264,4,520,0.23202292247534959,0.000542978865591847,0.0012087963178204473
-33.4445359,-70.6518484,-33.446135,-70.653543,4,540,0.23724133368024652,0.0005638626681146103,0.0012552884838904644
-33.43361,-70.6529,-33.435463,-70.654194,4,360,0.23815634772956495,0.0003759084454097402,0.0008368589892603096
-33.4424389,-70.6408278,-33.4403,-70.6411,4,660,0.23857679200071713,0.0006891654832511904,0.0015342414803105676
-33.4424389,-70.6408278,-33.4403,-70.6411,3,420,0.23857679200071713,0.00043855985297803026,0.0015771686068343973
-33.4403,-70.6411,-33.4424389,-70.6408278,4,660,0.23857679200071713,0.0006891654832511904,0.0015342414803105676
-33.432499,-70.655098,-33.43361,-70.6529,3,360,0.23867072527644234,0.0003759084454097402,0.0013518588058580548
-33.413937,-70.652961,-33.414,-70.65553,4,500,0.23905602777667292,0.0005220950630690836,0.00116230415175043
-33.414,-70.65553,-33.413937,-70.652961,4,500,0.23905602777667292,0.0005220950630690836,0.00116230415175043
-33.510078,-70.605293,-33.51015555,-70.6079,2,720,0.24237355842897257,0.0007518168908194805,0.0035187176229107614
-33.51015555,-70.6079,-33.510078,-70.605293,3,520,0.24237355842897257,0.000542978865591847,0.001952684941794968
-33.51015555,-70.6079,-33.510078,-70.605293,2,720,0.24237355842897257,0.0007518168908194805,0.0035187176229107614
-33.51015555,-70.6079,-33.510078,-70.605293,4,400,0.24237355842897257,0.0004176760504552669,0.000929843321400344
-33.510078,-70.605293,-33.51015555,-70.6079,3,500,0.24237355842897257,0.0005220950630690836,0.001877581674802854
-33.4202,-70.609802,-33.422401,-70.609352,4,640,0.247679039765435,0.000668281680728427,0.0014877493142405505
-33.4263,-70.6158,-33.424166,-70.614918,4,360,0.2504975328868851,0.0003759084454097402,0.0008368589892603096
-33.424166,-70.614918,-33.4263,-70.6158,4,520,0.2504975328868851,0.000542978865591847,0.0012087963178204473
-33.42942,-70.64539,-33.428677,-70.642776,4,740,0.2566854605950191,0.0007727006933422437,0.0017202101445906366
-33.428677,-70.642776,-33.42942,-70.64539,4,740,0.2566854605950191,0.0007727006933422437,0.0017202101445906366
-33.4283278,-70.6128778,-33.426021,-70.612338,4,460,0.26073058440828534,0.0004803274580235569,0.0010693198196103956
-33.414001,-70.600304,-33.41361,-70.5975,4,420,0.2643935430884035,0.00043855985297803026,0.0009763354874703612
-33.41361,-70.5975,-33.414001,-70.600304,4,400,0.2643935430884035,0.0004176760504552669,0.000929843321400344
-33.41571,-70.59356,-33.417025,-70.5959666667,4,480,0.2671705036278362,0.0005012112605463203,0.001115811985680413
-33.4407505,-70.6149041,-33.441399,-70.617691,4,440,0.2689378782848165,0.0004594436555007936,0.0010228276535403785
-33.441399,-70.617691,-33.4407505,-70.6149041,4,420,0.2689378782848165,0.00043855985297803026,0.0009763354874703612
-33.40344722,-70.5928166667,-33.403301,-70.595703,4,360,0.26899235296699275,0.0003759084454097402,0.0008368589892603096
-33.447884,-70.645272,-33.449436,-70.647504,4,440,0.26962506155889326,0.0004594436555007936,0.0010228276535403785
-33.45829,-70.706787,-33.455774,-70.70637,4,460,0.28173618412167284,0.0004803274580235569,0.0010693198196103956
-33.455774,-70.70637,-33.45829,-70.706787,4,500,0.28173618412167284,0.0005220950630690836,0.00116230415175043
-33.4022556,-70.5778,-33.3997,-70.57774,4,620,0.28350067252375755,0.0006473978782056636,0.0014412571481705332
-33.3997,-70.57774,-33.4022556,-70.5778,4,780,0.28350067252375755,0.0008144682983877705,0.001813194476730671
-33.4202,-70.609802,-33.421375,-70.6125333,4,420,0.2855084646732702,0.00043855985297803026,0.0009763354874703612
-33.40442777,-70.5722111111,-33.40691,-70.571312,4,400,0.2877325696261297,0.0004176760504552669,0.000929843321400344
-33.40691,-70.571312,-33.40442777,-70.5722111111,4,400,0.2877325696261297,0.0004176760504552669,0.000929843321400344
-33.4220833333,-70.6023333333,-33.422246,-70.605422,4,480,0.2878293624890349,0.0005012112605463203,0.001115811985680413
-33.454881,-70.626636,-33.457394,-70.625793,4,1720,0.28953250647157003,0.0017960070169576476,0.003998326282021479
-33.454881,-70.626636,-33.457394,-70.625793,3,620,0.28953250647157003,0.0006473978782056636,0.002328201276755539
