lat_O,lon_O,lat_D,lon_D,group,count,distance,norm_total,norm_group
-33.41827777,-70.6063916667,-33.417793,-70.606604,4,780,0.05727908522451166,0.0013790177150737244,0.0035467442706438707
-33.417793,-70.606604,-33.41827777,-70.6063916667,4,440,0.05727908522451166,0.0007779074290159471,0.002000727537286286
-33.390478,-70.545018,-33.39104,-70.54533,4,420,0.06876003461446333,0.0007425480004243131,0.0019097853765005456
-33.517637,-70.598107,-33.516993,-70.597368,3,340,0.09907410076795564,0.0006011102860577773,0.0019068984856982613
-33.480293,-70.750603,-33.480293,-70.751692,3,480,0.10121557385859747,0.000848626286199215,0.0026920919798093103
-33.480293,-70.750603,-33.480293,-70.751692,4,380,0.10121557385859747,0.0006718291432410452,0.0017279010549290652
-33.480293,-70.751692,-33.480293,-70.750603,2,340,0.10121557385859747,0.0006011102860577773,0.002526753864447087
-33.480293,-70.751692,-33.480293,-70.750603,4,400,0.10121557385859747,0.0007071885718326792,0.0018188432157148053
-33.480293,-70.750603,-33.480293,-70.751692,2,400,0.10121557385859747,0.0007071885718326792,0.002972651605231867
-33.480293,-70.751692,-33.480293,-70.750603,3,400,0.10121557385859747,0.0007071885718326792,0.002243409983174425
-33.414636,-70.583264,-33.4155833,-70.5833889,4,340,0.10570713055921913,0.0006011102860577773,0.0015460167333575846
-33.364834,-70.678337,-33.365936,-70.678437,4,680,0.12257770520475315,0.0012022205721155545,0.0030920334667151692
-33.611416,-70.705406,-33.61030556,-70.70419444,3,420,0.1667686457032405,0.0007425480004243131,0.0023555804823331464
-33.61030556,-70.70419444,-33.611416,-70.705406,3,500,0.1667686457032405,0.000883985714790849,0.0028042624789680315
-33.448898,-70.652397,-33.447539,-70.651178,4,860,0.18858815701388068,0.0015204554294402602,0.0039105129137868315
-33.447539,-70.651178,-33.448898,-70.652397,4,880,0.18858815701388068,0.0015558148580318942,0.004001455074572572
-33.453263,-70.615119,-33.45498333,-70.6139250003,4,440,0.22074823382414796,0.0007779074290159471,0.002000727537286286
-33.414,-70.65553,-33.413937,-70.652961,4,340,0.23905602777667292,0.0006011102860577773,0.0015460167333575846
-33.510078,-70.605293,-33.51015555,-70.6079,3,640,0.24237355842897257,0.0011315017149322868,0.00358945597307908
-33.510078,-70.605293,-33.51015555,-70.6079,2,680,0.24237355842897257,0.0012022205721155545,0.005053507728894174
-33.51015555,-70.6079,-33.510078,-70.605293,2,540,0.24237355842897257,0.0009547045719741168,0.00401307966706302
-33.428677,-70.642776,-33.42942,-70.64539,4,380,0.2566854605950191,0.0006718291432410452,0.0017279010549290652
-33.447884,-70.645272,-33.449436,-70.647504,4,360,0.26962506155889326,0.0006364697146494112,0.001636958894143325
-33.455774,-70.70637,-33.45829,-70.706787,4,360,0.28173618412167284,0.0006364697146494112,0.001636958894143325
-33.45829,-70.706787,-33.455774,-70.70637,4,380,0.28173618412167284,0.0006718291432410452,0.0017279010549290652
-33.3997,-70.57774,-33.4022556,-70.5778,4,460,0.28350067252375755,0.0008132668576075811,0.0020916696980720264
-33.4022556,-70.5778,-33.3997,-70.57774,4,420,0.28350067252375755,0.0007425480004243131,0.0019097853765005456
-33.457394,-70.625793,-33.454881,-70.626636,4,1440,0.28953250647157003,0.002545878858597645,0.0065478355765733
-33.454881,-70.626636,-33.457394,-70.625793,4,1360,0.28953250647157003,0.002404441144231109,0.0061840669334303384
-33.433998,-70.6773,-33.43370833,-70.6741027778,4,340,0.29905059287641256,0.0006011102860577773,0.0015460167333575846
